bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 214
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 21096
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 13035
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3630
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 687
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 328
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 123
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 528
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 96
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 240
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 65
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 69
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 138
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1131
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 182
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 114
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 21081
bcov | 4.8 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 13008
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 166
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 403
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 1017
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 352
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 20952
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 12819
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 3192
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 197
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 168
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 165
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 394
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 844
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19944
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11925
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 530
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 948
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3732
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 14
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 166
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 401
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1017
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 178
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12819
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20955
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3732
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 161
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 171
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 449
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 392
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 166
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 376
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 915
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 184
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20904
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12843
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3438
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 521
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 235
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 168
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 383
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 179
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 180
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 206
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 219
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 168
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 942
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 174
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 179
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20889
bcov | 12.7 kDa non-structural protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12816
bcov | small membrane protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 453
bcov | small membrane protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 1092
bcov | small membrane protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 394
bcov | small membrane protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 21027
bcov | small membrane protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 12894
bcov | small membrane protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 3267
bcov | small membrane protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 207
bcov | small membrane protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 136
bcov | small membrane protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 119
bcov | small membrane protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 437
bcov | small membrane protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 915
bcov | small membrane protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 20019
bcov | small membrane protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 12000
bcov | small membrane protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 585
bcov | small membrane protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 1020
bcov | small membrane protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3807
bcov | small membrane protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 167
bcov | small membrane protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 3
bcov | small membrane protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 454
bcov | small membrane protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 1092
bcov | small membrane protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 133
bcov | small membrane protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12894
bcov | small membrane protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 21030
bcov | small membrane protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3807
bcov | small membrane protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 154
bcov | small membrane protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 168
bcov | small membrane protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 497
bcov | small membrane protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 430
bcov | small membrane protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 118
bcov | small membrane protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 416
bcov | small membrane protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 987
bcov | small membrane protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 178
bcov | small membrane protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20979
bcov | small membrane protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12918
bcov | small membrane protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3513
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 573
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 256
bcov | small membrane protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 125
bcov | small membrane protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 430
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 121
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 192
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 144
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 151
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 133
bcov | small membrane protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1014
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 163
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 140
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20964
bcov | small membrane protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12891
bcov | matrix protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 777
bcov | matrix protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 361
bcov | matrix protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 20589
bcov | matrix protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 12456
bcov | matrix protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 2829
bcov | matrix protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 378
bcov | matrix protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 445
bcov | matrix protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 469
bcov | matrix protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 326
bcov | matrix protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 633
bcov | matrix protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19581
bcov | matrix protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11562
bcov | matrix protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 410
bcov | matrix protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 702
bcov | matrix protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3369
bcov | matrix protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 401
